Engagement	Location	Date	Result	Side 1	Leaders 1	Strength 1	Casualties 1	Side 2	Leaders 2	Strength 2	Casualties 2	Wikipedia Link
Battle for Brest	Brittany, France	7 August – 19 September 1944	Allied victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}	VIII Corps (United States)|VIII Corps* 2nd Infantry Division (United States)|2nd Infantry Division* 8th Infantry Division (United States)|8th Infantry Division* 29th Infantry Division (United States)|29th Infantry Division* 2nd Ranger Battalion (United States)|2nd Ranger Battalion* 5th Ranger Battalion (United States)|5th Ranger Battalion* 79th Armoured Division (United Kingdom)|79th Armoured Division (elements)* 6th Armored Division (United States)|6th Armored Division (elements)	-4,000https://web.archive.org/web/20080704104847/http://www.germanwarmachine.com/info_43.html]--9,831https://www.ibiblio.org/hyperwar/USA/USA--E--Breakout/USA--E--Breakout--30.html]-	{{flagcountry|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	-2nd Parachute Division (Germany)|2nd Fallschirmjäger--Division266th Infantry Division (Wehrmacht)|266. Infanterie--Division343th Infantry Division (Wehrmacht)|343. Infanterie--Division-	POW Entire remaining force	https://en.wikipedia.org/wiki/Battle_for_Brest
Liberation of Paris	Paris and outskirts, France	19–25 August 1944	-Allies of World War II|Allied victory*Capture and liberation of Paris*Paris made capital of the re--established Provisional Government of the French Republic-	{{flagicon|Free France}}	{{flagicon|Free French}}		-'''French Resistance:'''1,600 deadref name="Lib&#233;ration de Paris"http://gaminsdulux.fr/ce2cm1/histoire/lib--paris.pdf "''Lib&#233;ration de Paris'' &amp;#91;Liberation of Paris&amp;#93;"] (in French). (Portable Document Format|PDF format).&lt;/ref&gt;'''Free French Forces:'''130 dead319 woundedref"The Lost Evidence&amp;nbsp;&#8211; Liberation of Paris".  History (U.S. TV channel)|History.&lt;/ref&gt;'''United States:''' Unknownrefhttp://www.liberation--de--paris.gilles--primout.fr/americains.htm "''Lib&#233;ration de Paris forces am&#233;ricaines''"] (in French).&lt;/ref&gt;-	{{flagcountry|Nazi Germany|1935}}	{{flagicon|Nazi Germany|1935}}		3,200 dead12,800 prisonersref name="Lib&#233;ration de Paris"	https://en.wikipedia.org/wiki/Liberation_of_Paris
Operation Dragoon	Southern France, Côte d'Azur	15 August – 14 September 1944	Allied victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}	{{sfnp|Clarke|Smith|1993|p|=|92}}	{{flagicon|United States|1912}}	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{sfnp|Clarke|Smith|1993|p|=|70}}	{{flagicon|Nazi Germany}}	https://en.wikipedia.org/wiki/Operation_Dragoon
Battle of Port Cros	-Port--Cros, France, Mediterranean Sea-	August 15, 1944	Allied victory	{{flag|United States|1912}}	File:US Naval Jack 48 stars.svg|23px William Christopher Hughes Jr.|William C. Hughes	'''Land:'''1,800 infantry'''Sea:'''1 destroyer	9 killed	{{flagcountry|Nazi Germany|1935}}	unknown	'''Land:'''5 forts'''Sea:'''1 corvette1 aviso	1 corvette sunk1 aviso sunk5 forts captured	https://en.wikipedia.org/wiki/Battle_of_Port_Cros
Battle of La Ciotat	off La Ciotat, France, Mediterranean Sea	17 August 1944	Allied victory	{{flag|United States|1912|23px}}	File:US Naval Jack 48 stars.svg|23px John D. Bulkeley	1 destroyer2 gunboats17 PT boats	'''United States:''',  1 man wounded1 destroyer damaged'''United Kingdom:''',  Unknown	{{flagcountry|Nazi Germany|23px}}	{{flagicon|Nazi Germany|naval|23px}}	1 corvette1 naval yacht	169 captured1 corvette sunk1 naval yacht sunk	https://en.wikipedia.org/wiki/Battle_of_La_Ciotat
Allied advance from Paris to the Rhine	Along and around the Siegfried Line, (France, Belgium, Luxembourg, Netherlands and Germany)	25 August 1944 – 7 March 1945	Allied victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}	4.5 million troops (91 divisions)ref name="MacDonald, C 2005"MacDonald, C (2005), ''The Last Offensive: The European Theater of Operations''. University Press of the Pacific, p.322&lt;/ref&gt;	'''U.S.:'''240,082 casualties(50,410 killed, 172,450 wounded, 24,374 captured or missing)(15 September 1944 – 21 March 1945)'''U.K.'''~32,366'''Total:'''272,448+ref{{cite book|author1=US Adjutant General|title=Army battle casualties and nonbattle deaths in World War II.|date=1953|page=93|url=http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130|accessdate=29 June 2017}}&lt;/ref&gt;	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{Citation needed|date|=|March 2011}}	-400,000+ casualtiesrefZaloga, Steve, and Dennis, Peter (2006). Remagen 1945: endgame against the Third Reich. Oxford: Osprey Publishing. {{ISBN|1--84603--249--0}}. Page 88.&lt;/ref&gt;*~40,000 killed*~80,000 wounded*280,000+ captured-	https://en.wikipedia.org/wiki/Allied_advance_from_Paris_to_the_Rhine
Clearing the Channel Coast	France and Belgium	September–November 1944	Allied victory	{{flag|Canada|1921}}	{{flagicon|Canada|1921}}			{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}			https://en.wikipedia.org/wiki/Clearing_the_Channel_Coast
Operation Astonia	Le Havre, Normandy, France	10–12 September 1944	Allied Victory	{{flag|United Kingdom}}	{{flagicon|Canada|1921}}	2 divisions and 79th Armoured Division attachments	388–50040 armoured vehicles	{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	{{circa|12,000}}	600 killed11,300 captured	https://en.wikipedia.org/wiki/Operation_Astonia
Siege of Dunkirk (1944–45)	Dunkirk, France	15 September 1944 – 8 May 1945	German force capitulate on 8 May 1945	{{flagicon|Canada|1921}}	{{flagicon|Canada|1921}}			{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}			https://en.wikipedia.org/wiki/Siege_of_Dunkirk_(1944–45)
Operation Wellhit	-Boulogne--sur--Mer (France)-	September 17 &ndash; September 22, 1944	Allied victory	{{flagicon|Canada|1921}}	{{flagicon|Canada|1921}}	2 infantry brigades with supporting armour, artillery and aircraft	-600ref name=rep184--88 Report 184, para.88&lt;/ref&gt;-	{{flag|Nazi Germany}}	{{flagicon|Nazi Germany}}	10000	~500 (9,500 taken prisoner)	https://en.wikipedia.org/wiki/Operation_Wellhit
Operation Undergo	Calais, France	22 September – 1 October 1944	Allied victory	{{flagicon|Canada|1921}}	{{flagicon|Canada|1921}}		approx. 260	{{flag|Nazi Germany}}	{{flagicon|Germany|Nazi}}	7,500 in Calais	9,128 captured, including "about 1,600" from Cape Gris Nez	https://en.wikipedia.org/wiki/Operation_Undergo
Operation Market Garden	The Netherlands and Germany	17–25 September 1944	{{efn|Dr. John C Warren wrote: "Thus ended in failure the greatest airborne operation of the war .... All objectives save Arnhem had been won, but without Arnhem the rest were as nothing.|sfn|Warren|1956|p|=|146}}	{{flag|United Kingdom}}	{{flagicon|UK}}	{{sfn|Reynolds|2001|p|=|173}}	{{efn|XXX Corps lost 70 tanks while VIII and XII Corps lost c. 18 tanks.|sfn|MacDonald|1963|p|=|199|loc|=|and endnotes}}	{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}	{{efn|While the size of the German force used to oppose Market Garden is currently unknown, Michael Reynolds notes that Fifteenth Army, based to the west of the axis of advance, contained over 80,000 men. The strength of First Parachute Army is not given. However, Reynolds notes it had just been reinforced with over 30,000 men from the Luftwaffe, including paratroopers in various stages of training. Finally, the 9th and 10th SS Panzer Divisions each contained in the neighborhood of 6,000–7,000 men.|sfn|Reynolds|2001|pp|=|100–01}}	{{sfn|Ryan|1999|p|=|457}}	https://en.wikipedia.org/wiki/Operation_Market_Garden
Battle of Arnhem	Netherlands	17–26 September 1944	German victory	{{flag|United Kingdom}}	{{flagicon|UK}}	{{flagicon|UK}}	#Approx 1,984 killed6,854 captured	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	*Elements off:, Image:Flag Schutzstaffel.svg|20px 9th SS Panzer Division Hohenstaufen|9th Panzer DivisionImage:Flag Schutzstaffel.svg|20px 10th SS Panzer Division Frundsberg|10th Panzer Division	#Approx 1,300 killed2,000 wounded	https://en.wikipedia.org/wiki/Battle_of_Arnhem
Battle of Metz	Metz, France	27 September – 13 December 1944	American tactical victoryGerman strategic victory	{{flag|United States|1912}}	George S. Patton			{{flagcountry|Nazi Germany}}	Otto von Knobelsdorff			https://en.wikipedia.org/wiki/Battle_of_Metz
Battle of Nancy	Outside the walls of Nancy, France	5 January 1477	Decisive Lorraine victory, Death of Charles the Bold, end of the Burgundian Wars, and dissolution of the Duchy of Burgundy	File:Bandera de Borgoña.svg|23px Duchy of Burgundy	{{KIA}}	-2,000--8,000 menref name=Vaughan-	Unknown, presumably near total	{{flagicon|Lorraine|1477}}	File:Lorraine Arms 1473.svg|20px René II, Duke of LorraineSwiss mercenaries	-Lorraine 10,000--12,000 men,  Swiss 8,000--10,000 menref name=HDS-	Unknown	https://en.wikipedia.org/wiki/Battle_of_Nancy
Battle of Moerbrugge	Moerbrugge, Belgium	8–10 September 1944,	Allied victory	{{flagicon|Canada|1921}}	{{flagicon|Canada|1921}}	{{flagicon|Canada|1921}}	~250 killed wounded or captured	{{flag|Nazi Germany|name|=|Germany}}		{{flagicon|Nazi Germany}}	~700 killed, wounded or captured	https://en.wikipedia.org/wiki/Battle_of_Moerbrugge
Battle of Hürtgen Forest	{{coord|50|42|31|N|6|21|46|E|type:event|display|=|inline,title}}	19 September – 16 December 1944ref name="Zabecki"Zabecki p. 1537&lt;/ref&gt;	German defensive victoryref name="MacDonald"MacDonald (1984), p. 594&lt;/ref&gt;ref name="Zaloga"Zaloga (2007), p. 91&lt;/ref&gt;ref name=BergstromBergstrom p. 42&lt;/ref&gt;	{{flag|United States|1912}}	Omar Bradley, Courtney Hodges	120000	-33,000ref name="Zabecki"Zabecki p. 1537&lt;/ref&gt;ref group=notesThe figure of 33,000 includes 9,000 friendly fire and non--combat casualties during the battle&lt;/ref&gt;-	{{flagcountry|Nazi Germany}}	Walter Model	80000	28,000ref name="Miller188"Miller (1995) p. 188&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Hürtgen_Forest
Battle of Overloon	Overloon, Netherlands	30 September – 18 October 1944	Allied victory	{{flag|United Kingdom}}	{{Flagicon|United Kingdom}}	2 divisions	1,878 men3 aircraft40 tanks	{{flagcountry|Nazi Germany}}	{{Flagicon|Nazi Germany}}	1 division?	600 infantryunknown number of tanks	https://en.wikipedia.org/wiki/Battle_of_Overloon
Battle of Aachen	{{Coord|50|46|N|6|6|E|type:city|display|=|inline,title}}	12 September – 21 October 1944	United States victory	{{flag|United States|1912}}	Courtney Hodges ,  First United States Army|(US First Army) ,  Clarence R. Huebner (1st Infantry Division (United States)|1st Infantry Division) ,  Leland S. Hobbs ,  (30th Infantry Division (United States)|30th Infantry Division)	100,000 soldiers	5,000+ casualtiesref name="Ambrose 1997, p. 151"Ambrose (1997), p. 151&lt;/ref&gt;, 2,000 killedrefhttp://www.300thcombatengineersinwwii.com/germanyH.html&lt;/ref&gt;	{{flagcountry|Nazi Germany}}	Gerhard Wilck	13,000 soldiers5,000 Volkssturm	10,000+ casualties, 4,400 killed,ref http://www.usarmymodels.com/MODEL%20GALLERY/Aachen/2battleforaachen.html&lt;/ref&gt; 5,600 prisoners ref name="Ambrose 1997, p. 151"&lt;/ref&gt;	https://en.wikipedia.org/wiki/Battle_of_Aachen
Battle of Crucifix Hill	{{coord|50|47|57.63|N|6|8|21.9|E|type:event|display|=|inline,title}}	8 October 1944	American victory	{{flagcountry|Nazi Germany}}	Gerhard Wilck			{{flag|United States|1912}}	Henry G. Leonard, Jr.			https://en.wikipedia.org/wiki/Battle_of_Crucifix_Hill
Battle of the Scheldt	Dutch Zeeland and northern Belgium	October 2 – November 8, 1944	Allied victory*Antwerp opens to Allied shipping	{{flag|Canada|1921}}	{{flagicon|United Kingdom}}	60000	Canadian: 6,367Total: 12,873	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	90000	-Roughly 10--12,00041,043 captured-	https://en.wikipedia.org/wiki/Battle_of_the_Scheldt
Operation Queen	Rur valley and environs, Germany	16 November&nbsp;– 16 December 1944	German defensive victoryref name="MacDonald 1993, p. 594"MacDonald (1993), p. 594&lt;/ref&gt;	{{flag|United States|1912}}	Omar Bradley, Courtney Hodges, William Hood Simpson	First United States Army|First U.S. ArmyNinth United States Army|Ninth U.S. Army	{{ref label|A|a|a}}	{{flag|Nazi Germany|name|=|Germany}}	-Walter Model, Gustav--Adolf von Zangen, Erich Brandenberger-	15th Army (Wehrmacht)|15th Army7th Army (Wehrmacht)|7th Army	Casualties equal to the Alliesref name="MacDonald 1993, p. 594"	https://en.wikipedia.org/wiki/Operation_Queen
Operation Clipper	{{coord|50|57|56|N|6|7|19|E|type:city|name|=|Geilenkirchen|display|=|inline,title}}	10–22 November 1944	Allied victory	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}		{{flagicon|United States|1912}}	{{flag|Nazi Germany|name|=|Germany}}	{{flagicon|Nazi Germany}}		{{flagicon|Nazi Germany}}	https://en.wikipedia.org/wiki/Operation_Clipper
Battle of the Bulge	The Ardennes: Belgium, Luxembourg	16 December 1944&nbsp;– 25 January 1945	{{sfn|Bergström|2014|p|=|428}}	{{plainlist |* |flag|United States|1912|* |flag|United Kingdom|1801|* |flagdeco|France|1794| Provisional Government of the French Republic|France* |flag|Canada|1921|* |flag|Belgium|* |flag|Luxembourg|}}	-{{ubl   |flagicon|United States|1912| Dwight D. Eisenhower   |(Supreme Headquarters Allied Expeditionary Force|Supreme Allied Commander)   |flagicon|United Kingdom|1801| Bernard Montgomery   |(21st Army Group, First United States Army|First U.S. Army, Ninth United States Army|Ninth U.S. Army)   |flagicon|United States|1912| Omar Bradley   |(Twelfth United States Army Group|12th U.S. Army Group)   |flagicon|United States|1912| Courtney Hodges   |(First United States Army|First U.S. Army)   |flagicon|United States|1912| George S. Patton   |(United States Army Central|Third U.S. Army)   |item2_style|=|font--size:95%;|item4_style|=|font--size:95%;|item7_style|=|font--size:95%;|item9_style|=|font--size:95%;|item11_style|=|font--size:95%;|item13_style|=|font--size:95%;}}-	-{{plainlist |; 16 December: 6 infantry divisions: 2 armored divisions; Initial: 228,741 men: 483 tanks: 499 tank destroyers and assault guns: 1,921 other tracked AFVs: 971 anti--tank and artillery pieces; 24 December: 15 infantry divisions: 6 armored divisions: 1 armored brigade; With reinforcement: ~541,000 men: 1,616 tanks: 1,713 tank destroyers and assault guns: 5,352 other tracked AFVs: 2,408 anti--tank and artillery pieces; 16 January: 22 infantry divisions: 8 armored divisions: 2 armored brigades|ref| name="Hitler's Last Gamble"|{{cite book|last1=Dupuy|first1=Trevor|title=Hitler's Last Gamble|date=1994|publisher=HarperCollins|location=New York|isbn=0--06--016627--4}} Appendices E and F||; With reinforcement: 700,520 men: 4,155 artillery pieces: 2,428 tanks: 1,912 tank destroyers and assault guns: 7,079 other tracked AFVs: 3,181 anti--tank and artillery pieces: 6,000 aircraft}}-	{{plainlist |; |flagicon|United States|1912| American: 89,500 – 105,102 casualties|sfn|Miles|2004|ref| name="cgsc.cdmhost.com"|{{cite web |url=http://cgsc.cdmhost.com/cdm4/document.php?CISOROOT=/p4013coll8&CISOPTR=130&REC=2 |publisher=Combined Arms Research Library, Department of the Army |title=Army Battle Casualties and Nonbattle Deaths in World War II |accessdate=12 June 2012 |date=25 June 1953}}||rp|92|: 19,000 killed,: 47,500 wounded,: 23,000 captured or missing: 700–800+ tanks, tank destroyers, and assault guns destroyed|sfn|Shaw|2000|p|=|168|: ~1000 aircraft lost, over 647 in December|sfn|Vogel|2001|p|=|632| and 353 during: Unternehmen Bodenplatte|ref|{{Harvnb|Parker|1991|pp=339}}||; |flagicon|United Kingdom|1801| British: 1,408 (200 killed, 969 wounded, and 239 missing)|sfn|Ellis|2009|p|=|195|}}	{{flagcountry|Nazi Germany}}	-{{ubl   |flagicon|Nazi Germany| Adolf Hitler   |(Führer|Leader and Chancellor)   |flagicon|Nazi Germany| Walter Model   |(Army Group B)   |flagicon|Nazi Germany| Gerd von Rundstedt   |(OB West)   |flagicon|Nazi Germany| Hasso von Manteuffel   |(5th Panzer Army)   |flagicon|Nazi Germany| Sepp Dietrich   |(6th Panzer Army)   |flagicon|Nazi Germany| Erich Brandenberger   |(7th Army (Wehrmacht)|7th Army)   |item2_style|=|font--size:95%;|item4_style|=|font--size:95%;|item6_style|=|font--size:95%;|item8_style|=|font--size:95%;|item10_style|=|font--size:95%;|item12_style|=|font--size:95%;}}-	-{{plainlist |; 16 December: 13 infantry divisions|efn|Includes two parachute divisions.|: 7 armored divisions: 1 brigade|ref| name="ReferenceC"|{{cite book|last1=Dupuy|first1=Trevor|title=Hitler's Last Gamble|date=1994|publisher=HarperCollins|location=New York|isbn=0--06--016627--4}} Page 18.||; Initial: 406,000 men: 557 tanks: 667 tank destroyers and assault guns: 1,261 other tracked AFVs: 4,224 anti--tank and artillery pieces; 24 December: 16 infantry divisions: 8 armored divisions: 1 armored brigade: 2 infantry brigades; With reinforcement: ~449,000 men: 423 tanks: 608 tank destroyers and assault guns: 1,496 other tracked AFVs: 4,131 anti--tank and artillery pieces; 16 January: 16 infantry divisions: 8 armored divisions: 2 infantry brigades|ref| name="Hitler's Last Gamble"|{{cite book|last1=Dupuy|first1=Trevor|title=Hitler's Last Gamble|date=1994|publisher=HarperCollins|location=New York|isbn=0--06--016627--4}} Appendices E and F||}}-	-{{plainlist |; |flagicon|Nazi Germany| German: 67,459|efn|10,749 dead; 34,225 wounded; 22,487 captured|sfn|Vogel|2001|p|=|632| – 125,000 casualties|ref|{{Harvnb|Cirillo|2003}}||ref| name="astor"|{{cite book|title=A Blood Dimmed Tide, The Battle of the Bulge by the Men Who Fought It|last=Astor|first=Gerald|year=1992|publisher=Donald I. Fine, Inc.|isbn=1--55611--281--5}}|| (includes killed, wounded, missing, captured): 600–800+ tanks and assault guns destroyed|sfn|Shaw|2000|p|=|168|sfn|Shirer|1990|p|=|1095|ref|{{Harvnb|Parker|1991|pp=338}}||: ~800 aircraft lost, over 500 in December and 280 during: Unternehmen Bodenplatte|ref|{{Harvnb|Parker|1991|pp=339}}||}}-	https://en.wikipedia.org/wiki/Battle_of_the_Bulge
Battle of Vianden	Vianden (Luxembourg), and adjacent areas of the river Our	15–19 November 1944	Luxembourgish victory*Remaining civilian population evacuates*Germans later occupy the town in conjunction during the Battle of the Bulge	{{flagicon|Luxembourg}}	{{flagicon|Luxembourg}}	30 militia	1 killed, 6 wounded	{{flagcountry|Nazi Germany}}	Unknown	250 soldiers	23 killed	https://en.wikipedia.org/wiki/Battle_of_Vianden
Battle of St. Vith	St. Vith, Belgium	16–21 December 1944	German victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}	-22,000 menref name="mitcham2006"Samuel W. Mitcham: ''Panzers in Winter: Hitler's Army And the Battle of the Bulge'', Greenwood Publishing Group, 2006, {{ISBN|0275971155}}, https://books.google.com/books?id=3ZNVME6--LHAC&amp;pg=PA122 page 122].&lt;/ref&gt;-	{{rp| 345,347,487}}	{{flag|Germany|Nazi}}	{{flagicon|Germany|Nazi}}	-100,000+ menrefTrevor Nevitt Dupuy, David L. Bongard, Richard C. Anderson (Jr.), Richard Claire Anderson: ''Hitler's last gamble: the Battle of the Bulge, December 1944--January 1945'', HarperCollins, 1994, {{ISBN|0060166274}}, page 155.&lt;/ref&gt;ref name="hasbrouck2006"Edited by Walt Cross Foreword by Gen. Hasbrouck: ''From the Beaches to the Baltic: The Story of the 7th Armored Division in World War II'', 2006, {{ISBN|0977192628}}, https://books.google.com/books?id=Eotg4qz40LEC&amp;pg=PA56 page 56].&lt;/ref&gt;, 500 tanksref name="hasbrouck2006"-	Unknown	https://en.wikipedia.org/wiki/Battle_of_St._Vith
Battle of Kesternich	In and around Kesternich, Germany	-First battle: 13–16 December 1944 ,  Second battle: 30 January--1 February 1945-	German defensive victory in first battle ,  U.S. victory in second battle	{{flag|United States|1912}}	{{flagicon|United States|1912}}	First battle: ,  Two Infantry battalions ,  Two platoons of M4 Shermans ,  One platoon of M10 tank destroyers ,  Second battle: ,  One infantry battalion ,  One company of M4 Shermans ,  One platoon of M10 tank destroyers	First battle: ,  At least 1,500 killed, wounded, or missing ,  Two tanks disabled ,  Second battle: ,  At least 225 killed, wounded, or missing	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany|1935}}	Elements of two divisions	First battle: ,  At least 150 killed ,  At least 600 captured ,  Second battle: ,  Unknown	https://en.wikipedia.org/wiki/Battle_of_Kesternich
Battle of Lanzerath Ridge	Near Lanzerath, Belgium	December 16–17, 1944	German victory; Ardennes offensive continued	{{flagicon|United States|1912}}	Walter E. Lauer, Lyle Bouck|Lyle Bouck, Jr.	ISTAR|Intelligence and Reconnaissance Platoon, 394th Regiment, 99th Infantry Division (United States)|99th Infantry Division (18 men);  Forward Observation Team, Battery C, 371st Field Artillery (4 men)	1 killed14 wounded20 captured	{{flagicon|Nazi Germany}}	Josef Dietrich|Sepp Dietrich, I.G. von Hoffmann	1st SS Division Leibstandarte SS Adolf Hitler|1st SS Panzer Division,  1st Battalion, 9th Fallschirmjäger Regiment, 3rd Parachute Division (Germany)|3rd Fallschirmjäger Division (500 men);  27th Fusilier#Germany|Fusilier Regiment, 12th Infantry Division (Wehrmacht)|12th Volksgrenadier Division (50 men)	16 killed63 wounded13 missing	https://en.wikipedia.org/wiki/Battle_of_Lanzerath_Ridge
Battle of Losheim Gap	Büllingen, Belgium	16 December 1944	German tactical victory	{{flagcountry|USA|1912}}	{{flagicon|USA|1912}}	U.S. 106th Infantry Division (United States)|106th Infantry Division (elements of), 14th Cavalry Group (elements of)Total strength: 5,000 men, 20 light tanks, 12 medium tanks	450 killed1,000+ wounded2,300 captured32 tanks	{{flagcountry|Nazi Germany}}	{{flagicon|Germany|Nazi}}	Leibstandarte SS Adolf Hitler|1st SS Panzer Division, 2nd SS Panzer Division Das Reich|2nd SS Panzer DivisionTotal strength: 25,000+ infantry, 200+ Panzers and SPGs	-200 killed300 wounded10--12 armored vehicles-	https://en.wikipedia.org/wiki/Battle_of_Losheim_Gap
Battle of Clervaux	Clervaux, northern Luxembourg	16 December 1944 – 18 December 1944	German victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}	1 regimental combat team and supporting smaller units	{{plainlist |* 2,000|ref| name="Publishing2005"| to 2,750|ref| name="Hastings2005"|* 60 tanks|sfn|Bergström|2014|p|=|98|}}	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	{{sfn|Bergström|2014|p|=|96}}	{{plainlist |* Significant|ref| name="Hastings2005"|* 4 tanks|sfn|Bergström|2014|p|=|98|}}	https://en.wikipedia.org/wiki/Battle_of_Clervaux
Battle of Elsenborn Ridge	The Ardennes	16 – 26 December 1944	Decisive American victoryGerman offensive halted	{{flag|United States|1912}}	Omar N. Bradley, Walter E. Lauer, Walter M. Robertson	28,000 men	5,000 men killed or missing	{{flagcountry|Nazi Germany}}	Sepp Dietrich, Hugo Kraas	56,000 men	114 tanks and vehicles,, Unknown, but high personnel losses	https://en.wikipedia.org/wiki/Battle_of_Elsenborn_Ridge
Siege of Bastogne	Bastogne, Belgium	20–27 December 1944	American victory	{{flag|United States|1912}}	{{flagicon|United States|1912}}	-101st Airborne Division|101st: 11,000ref{{cite book| last = Hatfield| first = Ken| title = Heartland Heroes: Remembering World War II| url = https://books.google.com/books?id=mtxMN5NdmCsC&amp;pg=PA181| year = 2003| publisher = University of Missouri Press| isbn = 978--0--8262--6335--3| page = 181 }}&lt;/ref&gt; enlisted + 800 officers, Remaining units: 11,000+ref name="google188"{{cite book| last = Bando| first = Mark| title = 101st Airborne: The Screaming Eagles at Normandy| url = https://books.google.com/books?id=NmitTETNSxwC&amp;pg=PA188| year = 2011| publisher = Zenith Imprint| isbn = 978--1--61060--256--3| page = 188 }}&lt;/ref&gt;, '''Total:''' 22,800+ men-	-3,000+ total casualties (2,000 in the 101st Airborne Division|101st)ref{{cite book| last1 = Avery| first1 = Derek| last2 = Lloyd| first2 = Mark| title = History of the United States fighting forces| url = https://books.google.com/books?id=r6xZAAAAYAAJ&amp;pg=PA103| year = 1989| publisher = Chevprime| isbn = 978--1--85361--107--0| page = 103 }}&lt;/ref&gt; ,  250 tanks destroyed refhttp://warfarehistorynetwork.com/daily/wwii/sherman--tanks--tiger--tanks--the--battle--of--the--bulge/&lt;/ref&gt;-	{{flagcountry|Nazi Germany}}	{{flagicon|Nazi Germany}}	-54,000+ menref{{cite book| last = Ballhausen| first = Hanno| title = Chronik des Zweiten Weltkriegs| url = https://books.google.com/books?id=Y3wFMlgitBIC&amp;pg=PA447| year = 2004| publisher = wissenmedia Verlag| isbn = 978--3--577--14367--7| page = 447 }}&lt;/ref&gt;-	unknown	https://en.wikipedia.org/wiki/Siege_of_Bastogne
Operation Bodenplatte	Belgium, the Netherlands and France	1 January 1945	German operational failureref name="Girbig 1975, p. 73"Girbig 1975, p. 73.&lt;/ref&gt;ref name="Prien &amp; Stemmer 2002, p. 349"Prien &amp; Stemmer 2002, p. 349.&lt;/ref&gt;* Pyrrhic victory|Pyrrhic German tactical successrefFranks 1994, pp. 163&#8211;165.&lt;/ref&gt;refZaloga 2004, p. 61.&lt;/ref&gt;refGirbig 1975, p. 114.&lt;/ref&gt;* Strategic German exhaustionref name="Caldwell 2007, p. 262"Caldwell 2007, p. 262.&lt;/ref&gt;ref name="Girbig 1975, p. 12"Girbig 1975, p. 12.&lt;/ref&gt;* End of the ''Luftwaffe'' as a major fighting force	{{flag|United Kingdom}}	{{flagicon|United Kingdom}}		#Aftermath and casualties|See Aftermath and casualties	{{flagicon|Nazi Germany}}	Werner KreipeJoseph SchmidDietrich PeltzKarl HentschelGotthard Handrick		#Aftermath and casualties|See Aftermath and casualties	https://en.wikipedia.org/wiki/Operation_Bodenplatte
Operation Nordwind	Alsace and Lorraine (province)|Lorraine, France	31 December 1944 – 25 January 1945	Tactical Allied retreat	{{flag|United States|1912}}	{{flagicon|United States|1912}}	{{flagicon|France|23px}}	{{flag|United States|1912}}	{{flagcountry|Nazi Germany}}	Johannes Blaskowitz, Hans von Obstfelder, Heinrich Himmler, Siegfried Rasp	?	{{rp|922}}	https://en.wikipedia.org/wiki/Operation_Nordwind
Colmar Pocket	Around Colmar, Alsace	20 January – 9 February 1945	Allied victory	{{flagdeco|France}}	{{flagdeco|United States|1912}}	Initial: 5 French infantry divisions2 French armored divisions2 U.S. infantry divisionsReinforcements: 1 French armored division1 U.S. armored division1 U.S. infantry division	{{flagdeco|France}}	{{flagcountry|Nazi Germany}}	Heinrich Himmler, Siegfried Rasp, Erich Abraham, Max Grimmeiss	7 infantry divisions1 mountain division, 1 ''Panzer'' brigade	At least 22,000; possibly as high as 38,500refClarke and Smith, p. 556&#8211;557.&lt;/ref&gt;	https://en.wikipedia.org/wiki/Colmar_Pocket
Operation Blackcock	Limburg (Netherlands) and Heinsberg|Heinsberg (Germany)	14 January 1945 &ndash; 27 January 1945	Allied victory	{{flag|United Kingdom|23px}}	{{flagicon|United Kingdom|23px}}	1 Armoured division, 2 Infantry divisions, 1 Commando brigade	1,152 casualties	{{flagcountry|Nazi Germany|23px}}	Günther Blumentritt	2 Infantry Divisions, 2 Paratroop Regiments, 1 Heavy Panzer Battalion	~2,000 total casualties	https://en.wikipedia.org/wiki/Operation_Blackcock
