Side 1,Leaders 1,Strength 1,Casualties 1,Side 2,Leaders 2,Strength 2,Casualties 2
{{Flag icon|Nazi Germany}},{{Flag icon|Nazi Germany}},"450,000 menrefDuffy pp. 51, 59&lt;/ref&gt;","&lt;!--41,805 killed &lt;br&gt;68,515 missing&lt;br&gt;146,368 wounded&lt;ref name = ww2stats&gt;http://ww2stats.com/cas_ger_okh_dec45.html&lt;/ref&gt;&lt;ref name = axishistory.com&gt;http://forum.axishistory.com/viewtopic.php?f=50&amp;t=112689&amp;start=15&lt;/ref&gt;&lt;br&gt; Forum and dead link are not accepted. Please find a more decent source.--&gt;Soviet claim:,  295,000 killed, 147,000 taken prisonerref name=BahmBahm, pp. 51-52&lt;/ref&gt;",{{Flag icon|USSR|1923}},{{Flag icon|USSR|1923}},"2,203,600 menref name=glantzGlantz (1995), p. 300&lt;/ref&gt;","43,476 killed or missing , 150,715 wounded and sickref name=glantz"
{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},"100,000 Soviet soldiers, 5,000 Polish soldiers","10,000 Soviet KIA, 700 Polish KIA",{{flag|Nazi Germany}},{{flagicon|Nazi Germany}},"15,700 fortress garrison soldiers, 22,600 regular field soldiers, 11,600 auxiliary forces, 8,000 Volkssturm, 1,100 Hungarian soldiers and mobilised Polish citizens, 25,000 SS and Police soldiers","6,000 German KIA, 100 Hungarian KIA, 23,000 POW"
{{flagcountry|Nazi Germany}},Georg-Hans ReinhardtFriedrich HossbachFriedrich-Wilhelm MüllerErhard RausWalter WeissDietrich von Saucken,"580,000 men200,000 ''Volkssturm'' troopers","Unknown killed or wounded, 220,000 capturedrefhttp://geroiros.narod.ru/wwsoldat/OPER/ARTICLES/037-vostpruss.htm&lt;/ref&gt;",{{flag|Soviet Union|1923}},{{KIA}},"1,669,100 menrefThis covers ''all'' personnel of the 3rd and 2nd Belorussian Fronts, and the elements of 1st Baltic Front involved {{harv|Glantz|House|1995|p=300}}.&lt;/ref&gt;",{{sfn|Glantz|House|1995|p|=|300}}
Image:Flag of Germany 1933.svg|22px Nazi Germany,Image:Flag of Germany 1933.svg|22px Friedrich Hossbach (4th Army (Wehrmacht)|4th Army until January 29)Image:Flag of Germany 1933.svg|22px Friedrich-Wilhelm Müller|Friedrich Müller (4th Army (Wehrmacht)|4th Army from January 29),"?150,000","80,000 killed50,000 captured605 tanks128 planes (According to Soviet information) refhttp://9may.ru/10.04.1945/inform/m4218&lt;/ref&gt;",{{flagicon|USSR}},{{flagicon|USSR}},?,{{citation needed|date|=|July 2016}}
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"60,000ref name=Duffy{{cite book|url=https://books.google.com/books?id=KvQNAAAAQAAJ&amp;pg=PA207&amp;lpg=PA207&amp;dq=k%C3%B6nigsberg+35.000+lasch&amp;q| first = Christopher| last = Duffy |authorlink=Christopher Duffy | title = Red storm on the Reich: the Soviet march on Germany, 1945| publisher = Routledge| year = 1991 | page=207|isbn =0-415-03589-9}}&lt;/ref&gt;–130,000, 4,000 artillery guns and mortars, 108 tanks and assault guns, 170 aircraftref name=Katerusha{{cite web |url=http://kaliningrad.kp.ru/daily/25880.4/2843410/ |title=Battle of K&#246;nigsberg in numbers: Won by not quantity, but quality |author=Alexander Katerusha. |date=10 May 2012 |publisher=&#1050;&#1086;&#1084;&#1089;&#1086;&#1084;&#1086;&#1083;&#1100;&#1089;&#1082;&#1072;&#1103; &#1087;&#1088;&#1072;&#1074;&#1076;&#1072; |accessdate=2013-01-07 |archiveurl=http://www.webcitation.org/6Dorv1iM4?url=http://kaliningrad.kp.ru/daily/25880.4/2843410/ |archivedate=2013-01-20 |deadurl=yes |df= }}&lt;/ref&gt;","50,000 casualties, 80,000 taken prisoner, According to Soviet information, the Germans lost 42,000 soldiers in combat and 92,000 were captured.refhttp://militarymaps.narod.ru/oper_1945.html#16 &#1050;&#1077;&#1085;&#1080;&#1075;&#1089;&#1073;&#1077;&#1088;&#1075;&#1089;&#1082;&#1072;&#1103; &#1085;&#1072;&#1089;&#1090;&#1091;&#1087;&#1072;&#1090;&#1077;&#1083;&#1100;&#1085;&#1072;&#1103; &#1086;&#1087;&#1077;&#1088;&#1072;&#1094;&#1080;&#1103;, 6-9 &#1072;&#1087;&#1088;&#1077;&#1083;&#1103; 1945 &#1075;.]&lt;/ref&gt;",{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},"137,000 (24,500 participated in active phase with rest supporting), 5,200 artillery guns and mortars, 528 tanks and SPG, 2174 aircraftref name=""Katerusha""","3,700 casualties for the final assaultref name=""Katerusha"""
9th Army (Wehrmacht)|9th Army Germany,"Heinrich Himmler, Otto Skorzeny","Originally a ''Kampfgruppe'', later XI SS Panzer Corps",,"2nd Belorussian Front, Soviet Union",Konstantin Rokossovsky,"Deception by 2nd Guards Tank Army, supported by 61st and 49th Armies",
Image:Flag of Germany 1933.svg|22px Nazi Germany,Image:Flag of Germany 1933.svg|22px Ferdinand Schörner,,,{{flagicon|USSR}},{{flagicon|USSR}},,
{{flag|Soviet Union}},{{plainlist |* |flagicon|Soviet Union|1923|&nbsp;Vladimir A. Gluzdovskii   }},87334,"'''60,000'''",{{flagcountry|Nazi Germany}},{{plainlist | style |=| margin-left: 1em; |* |flagicon|Nazi Germany|1935| Hans von Ahlfen* |flagicon|Nazi Germany|1935| Hermann Niehoff   }},50000,"'''29,000'''* 6,000 dead* 23,000 wounded80,000 civilian deaths"
File:Flag of Germany 1933.svg|22px Nazi Germany,File:Flag of Germany 1933.svg|22px Ferdinand Schoerner,unknown,unknown,{{flagicon|USSR}},{{flagicon|USSR}},"408,400ref name=KrivosheevSee Grigoriy Krivosheev, at http://www.soldat.ru/doc/casualties/book/chapter5_10_1.html soldat.ru]&lt;/ref&gt;","66,801 (including 15,876 irrecoverable)ref name=""Krivosheev"""
{{flag|Nazi Germany|name|=|Germany}},Walther WenckFelix Steiner,{{sfn|Liedtke|2008|p|=|584}},,{{flag|Soviet Union|1923}},Georgy Zhukov,{{sfn|Liedtke|2008|p|=|584}},
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},Unknown,Unknown,{{flag|Soviet Union|1923}},{{flagicon|USSR|1923}},"996,100ref name=glantzGlantz (1995), p. 300&lt;/ref&gt;",{{sfn|Liedtke|2008|p|=|585}}
{{flag|Nazi Germany|name|=|Nazi Germany|23px}},{{flagicon|Nazi Germany|23px}},": 431,000 menref name=KS: 877 tanks and assault guns: 900 other tracked AFVs: 5,600 anti-tank and artillery pieces: 850 aircraft","Total casualties: : 12,358-27,000 men: 500 tanks and assault guns: 300 anti-tank and artillery pieces: 200+ aircraft",{{flag|Soviet Union|1923|23px}},{{flagicon|Soviet Union|1923|23px}},{{sfn|Frieser|Schmider|Schönherr|Schreiber|2007|pp|=|942-943}},"Total casualties: : 32,899 men: 8,492 killed or missing: 24,407 wounded and sickref name=KSG.F. Krivosheyev, 'Soviet Casualties and Combat Losses in the twentieth century', London, Greenhill Books, 1997, {{ISBN|1-85367-280-7}}, Page 110&lt;/ref&gt;"
{{flag|Kingdom of Bulgaria}},{{flagicon|Kingdom of Bulgaria}},"First Army (Bulgaria)|Bulgarian 1st Army, 57th Army (Soviet Union)|Soviet 57th Army, Yugoslav 3rd Army",unknown,{{flag|Nazi Germany}},{{flagicon|Nazi Germany}},"2nd Panzer Army, LXXXXI Corps",unknown
{{flag|Soviet Union|1923}},File:Flag of the Bulgarian Homeland Front.svg|22px|border Vladimir Stoychev,,Unknown,{{flag|Nazi Germany|name|=|Germany}},Unknown,,Unknown
{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},"One army (understrength), 175,000","~30,000 killed, 125,000 taken prisonerref{{cite book |last=Tucker-Jones |first=Anthony |date=2016 |title=The Battle for Budapest |isbn= 978-1473877320}}&lt;/ref&gt;",{{flag|Soviet Union|1923}},{{flagicon|Soviet Union|1923}},{{sfn|Jukes|2002|p|=|68}},"{{efn|Site https://web.archive.org/web/20080505031426/http://www.soldat.ru/doc/casualties/book/chapter5_10_1.html soldat.ru] lists casualties of 139,815 for the 3rd Ukrainian Front and 9,805 for the 1st Bulgarian Army for the period 16 March to 15 April 1945, but this total includes other operations in Hungary and Czechoslovakia as well as including a longer period of time than the Vienna battle lasted.}}"
{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},,"'''Soviet claim:''' 80,000 KIA or POW",{{flagicon|USSR}},{{flagicon|USSR}},,Unknown
{{ubl| |flag|Soviet Union|1923|| |flagicon|POL|1928| Provisional Government of the Republic of Poland|Poland  }},{{ubl|flagicon|Soviet Union|1923||1st Belorussian Front:}},"{{plainlist |* Total strength:**2,500,000 soldiers (155,900&nbsp;– c.200,000 Polish People's Army)|sfn|Zaloga|1982|p|=|27|sfn|Glantz|1998|p|=|261|* 6,250 tanks and SP guns|sfn|Glantz|1998|p|=|261|* 7,500 aircraft|sfn|Glantz|1998|p|=|261|* 41,600 artillery pieces.|sfn|Ziemke|1969|p|=|71|sfn|Murray|Millett|2000|p|=|482|* For the investment (military)|investment and assault on the Berlin Defence Area: about 1,500,000 soldiers|sfn|Beevor|2002|p|=|287|  }}","{{plainlist |* Archival research  (operational total)* 81,116 dead or missing|sfn|Krivosheev|1997|p|=|157|* 280,251 sick or wounded* 1,997 tanks and SPGs destroyed|sfn|Krivosheev|1997|p|=|263|* 2,108 artillery pieces* 917 aircraft|sfn|Krivosheev|1997|p|=|263|  }}",{{flagcountry|Nazi Germany|1935}},{{ubl|flagicon|Nazi Germany|1935||Army Group Vistula:}},"{{plainlist |* Total strength:* 36 divisions|sfn|Antill|2005|p|=|28|* 766,750 soldiers|sfn|Glantz|1998|p|=|373|* 1,519 Armoured fighting vehicle|AFVs|sfn|Wagner|1974|p|=|346|* 2,224 aircraft|sfn|Bergstrom|2007|p|=|117|* 9,303 artillery pieces|sfn|Glantz|1998|p|=|373|efn|name|=|SovietEsts|* In the Berlin Defence Area: about 45,000 soldiers, supplemented by the police force, Hitler Youth, and 40,000 ''Volkssturm''|sfn|Beevor|2002|p|=|287|efn|name|=|GermanTroops|  }}","{{plainlist |* Estimated:  92,000–100,000 killed* 220,000 wounded|sfn|Müller|2008|p|=|673|efn|name|=|GermanCasualties|* 480,000 captured|sfn|Glantz|2001|p|=|95|* Inside Berlin Defence Area:* about 22,000 military dead* 22,000 civilian dead|sfn|Antill|2005|p|=|85|  }}"
{{flag|Soviet Union|1923}},{{Flag icon|Soviet Union|1923}},,,{{flagcountry|Nazi Germany}},{{Flag icon|Nazi Germany}},,
{{flag|Soviet Union|1923}},{{ubl|Flag icon|Soviet Union|1923|Georgy Zhukov|Vasily Chuikov}},"1,000,000 men3,059 tanks16,934 guns and mortars",{{sfn|Isaev|2010}},{{flagcountry|Nazi Germany}},{{ubl|Flag icon|Nazi Germany|Gotthard Heinrici|Ferdinand Schörner}},"112,143 men587 tanks2,625 guns",{{sfn|Hastings|2005|p|=|468}}
{{plainlist|* |flag|United Kingdom|:*|flagicon|British Raj| British India* |flag|New Zealand|* |flag|Australia|}},James Rivett-Carnac (Royal Navy officer)|J. Rivett-CarnacJ. S. M. RichardsonH. E. Horan,1 light cruiser1 destroyer3 sloop-of-war|sloops2 minesweeper (ship)|minesweepers32 ships of  Convoy BN 7,3 wounded1 destroyer damaged1 merchant ship damaged,{{flagcountry|Kingdom of Italy}},{{KIA}},{{plainlist|* 4 destroyers* Shore battery on Harmil|Harmil Island}},14 killed1 destroyer sunk
{{flag|New Zealand}},R. H. Bevan,1 cruiser,1 cruiser slightly damaged,{{flagcountry|Kingdom of Italy}},Alfredo Bonezzi,1 auxiliary cruiser,1 auxiliary cruiser sunk1 killed113 captured1 died of wounds
{{flagicon|UK}},Image:Naval Ensign of the United Kingdom.svg|30px|border P. C. W. Manwaring,1 heavy cruiser,1 killed1 heavy cruiser slightly damaged,{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany|naval}},1 auxiliary cruiser,332 killed60 captured1 auxiliary cruiser sunk
{{flag|United States|1912}},unknown,'''Land:'''32 infantry'''Sea:'''1 submarine,27 captured,{{flagicon|Empire of Japan}},{{flagicon|Empire of Japan|naval}},'''Land:'''850 infantry'''Sea:'''3 light cruisers8 destroyers1 Oiler (ship)|oiler2 troop transports'''Air:'''unknown aircraft,1 light cruiser damaged
{{flag|United Kingdom}},{{flagicon|United Kingdom|naval}},2 aircraft carrier|fleet carriers1 Light aircraft carrier|light carrier5 battleships7 cruisers15 destroyers7 submarines100+ aircraft 30 smaller warships50+ merchant ships,1 light carrier sunk2 heavy cruisers sunk2 destroyers sunk1 Armed Merchant Cruiser (AMC) sunk1 corvette sunk1 sloop sunk23 merchant ships sunk40+ aircraft destroyed,{{flagicon|Empire of Japan}},{{flagicon|Empire of Japan|naval}},5 aircraft carrier|fleet carriers1 Light aircraft carrier|light carrier4 battleships7 cruisers19 destroyers5 submarines 350 aircraft,20+ aircraft destroyed
,,,,,,,
{{flag|British Empire}},{{plainlist |* |flagicon|United Kingdom| Robert Sturges* |flagicon|United Kingdom| Edward Neville Syfret|Edward Syfret}},"10,000–15,000 soldiers (land forces)",{{plainlist |* 620 casualties in total (107 killed in action; 280 wounded; 108 died from disease)|sfn|Wessels|1996|* 1 battleship heavily damaged* 1 oil tanker sunk}},{{flagicon|Vichy France}},{{plainlist |* |flagicon|Vichy France| Armand Annet* |flagicon|Empire of Japan| Ishizaki Noboru}},{{sfn|Wessels|1996}},"{{plainlist |*  150 killed in action; 500 wounded (does not include any casualties caused by disease)|sfn|Wessels|1996|* ~1,000 POW|ref|{{cite hansard |url=http://hansard.millbanksystems.com/commons/1942/nov/10/madagascar-operations#column_2259 |house=House of Commons |date=10 November 1942 |speaker=Winston Churchill |position=Prime Minister}}||* 2 midget submarines destroyed}}"
{{flagicon|United Kingdom}},James SomervilleDudley Pound,1 aircraft carrier2 battleships1 battlecruiser2 light cruisers11 destroyers,6 aircraft destroyed2 dead,{{flagicon|France}},Marcel-Bruno GensoulFrançois Darlan,4 battleships5 destroyers1 seaplane tender,{{sfn|Playfair|1959|p|=|137}}
{{Flagcountry|Kingdom of Italy}},{{Flagicon|Kingdom of Italy}},"87,000 rising to 565,000 men463 aircraft163 light tanks","13,755 killed50,874 wounded3,914 missing21,153 Prisoner of war|POW'''Total combat losses: 89,696'''52,108 sick12,368 frostbite cases64 aircraft (another 24 claimed)1 submarine30,000 long tons of shipping'''General total: 154,172'''",{{Flagcountry|Kingdom of Greece}},{{Flag icon|Kingdom of Greece}},"Fewer than 260,000 rising to 430,000 men79 aircraft","{{circa|25,000}}"
{{flag|Kingdom of Italy}},Mario Girotti (officer)|Mario Girotti,{{sfn|Zizzo|2008|p|=|86}},"1,674 killed, wounded and missingref name=""maidaur.blogspot.com""",{{flag|Kingdom of Greece}},"Konstantinos Davakis, Vasileios Vrachnos, Georgios Stanotas, Sokratis Dimaratos","28 October:, 2.000 men, 4 guns, , 13 November:ref''&#919; &#921;&#964;&#945;&#955;&#953;&#954;&#942; &#917;&#953;&#963;&#946;&#959;&#955;&#942;'', &#916;&#921;&#931;, &#913;&#952;&#942;&#957;&#945;&#953; 1960, page 247&lt;/ref&gt;, 32,000 men, 114 guns",Unknown
{{flag|Kingdom of Italy}},Ezio Rossi (XXV Army Corps)Gen. Giannini (''Ferrara'' Div.)Gen. Maglie (''Centauro'' Div.),"42,000 men23rd Inf. Div. ''Ferrara'' 6 battalions 2 battalions of blackshirts 44 guns 131st Arm. Div. ''Centauro'' 3 motorized battalions 170 light tanks 32 gunsElements 51st Inf. Div. ''Siena''Air Force:400 aircraft",'''unknown total'''partial data:28 October – 5 November:160 killed41 missing561 wounded,{{flag|Kingdom of Greece}},{{sfn|AHD|1960|p|=|49}},{{sfn|AHD|1960|p|=|49}},{{sfn|AHD|1960|p|=|114}}
{{flag|Kingdom of Italy|name|=|Fascist Italy}},Gabriele Nasci,"55,000 men200 guns","Unknown number killed and wounded1,000 taken prisoner",{{flag|Kingdom of Greece}},"Ioannis Pitsikas, Georgios Kosmas","70,000 men198 guns","624 killed2,348 wounded"
{{flag|Kingdom of Italy}},Ugo Cavallero,,,{{flag|Kingdom of Greece}},"Alexander Papagos, Dimitrios Papadopoulos (general)|Dimitrios Papadopoulos",,
{{flag|Kingdom of Italy}},Carlo Geloso,9 divisions,"11,800 total",{{flag|Kingdom of Greece}},Alexander Papagos,6 divisions,"1,243 killed, 42 missing, 4,116 wounded, , Total: 5,401"
{{flagicon|Greece|royal}},Maj. Gen. Georgios Bakos (II Corps) *Maj. Gen. Vasileios Vrachnos (1st Division)*Col. Nikolaos Georgoulas (5th Regiment),,,{{flagicon|Kingdom of Italy}},Gen. Gastone Gambara (VIII Corps) *Gen. Div. Alberto D'Aponte (''Puglie'' Division)*Gen. Br. Angelico Carta (''Siena'' Division)*Gen. Br. Matteo Negro (''Bari'' Division),,
"{{plainlist | '''Axis Powers''', |flag|Nazi Germany|name|=|Germany|, |flagcountry|Kingdom of Italy|, |flagicon|Hungary|1940| Kingdom of Hungary (1920–46)|Hungary}}",{{plainlist |*|flagicon|Nazi Germany| Walther von Brauchitsch*|flagicon|Nazi Germany| Maximilian von Weichs*|flagicon|Nazi Germany| Wilhelm List*|flagicon|Nazi Germany| Paul Ludwig Ewald von Kleist*|flagicon|Nazi Germany| Alexander Löhr*|flagicon|Nazi Germany| Wolfram Freiherr von Richthofen*|flagicon|Kingdom of Italy| Vittorio Ambrosio*|flagicon|Kingdom of Italy| Alessandro Pirzio Biroli*|flagicon|Hungary|1940| Elemér Gorondy-Novák }},{{sfn|Zajac|1993|p|=|50}},"'''Germany:''', 151 killed, 392 wounded, 15 missing, 40 aircraft shot down, '''Italy:''',  3,324 killed or wounded, 10+ aircraft shot down, 22 damaged., '''Hungary:''', 120 killed, 223 wounded, 13 missing, 7 aircraft shot down",{{flag|Kingdom of Yugoslavia|name|=|Yugoslavia}},{{plainlist |*|flagicon|Kingdom of Yugoslavia| Dušan Simović*|flagicon|Kingdom of Yugoslavia| Danilo Kalafatović*|flagicon|Kingdom of Yugoslavia| Milorad Petrović*|flagicon|Kingdom of Yugoslavia| Milutin Nedić*|flagicon|Kingdom of Yugoslavia| Milan Nedić*|flagicon|Kingdom of Yugoslavia| Vladimir Cukavac*|flagicon|Kingdom of Yugoslavia| Dimitrije Živković*|flagicon|Kingdom of Yugoslavia| Borivoje Mirković }},{{sfn|Tomasevich|1975|p|=|64}},{{sfn|Shores|Cull|Malizia|1987|p|=|310}}
{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},{{sfn|Collier|1971|p|=|180}},{{sfn|Richter|1998|pp|=|595–97}},{{flagcountry|Kingdom of Greece}},{{flagicon|Kingdom of Greece}},{{Sfn |Ziemke}},{{sfn|Richter|1998|pp|=|595–97}}
{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},"'''Germany:''' One Panzer Division, Two Mountain Divisions, Three Infantry Divisions, One Independent Infantry Regiment, , One Air Corps with 650 aircraft",{{Cref|a}},{{flag|Kingdom of Greece|name|=|Greece}},{{flagicon|Kingdom of Greece}},"'''Greece:''' Four Divisions and Two Brigades:65,110 officers and other ranks188 field artillery pieces 76 anti-tank guns30 anti-aircraft guns40 tankettes",
{{flag|Australia}},{{flagicon|Australia}},eight infantry battalions; elements of one machine gun battalion and several artillery batteries,"{{efn|According to the Commonwealth War Graves Commission database|ref| name=""Geoff""|Commonwealth War Graves Commission site http://www.cwgc.org/, using ""Geoff's search engine"" tool found on http://www.hut-six.co.uk/cgi-bin/search39-47.php, accessed 16 September 2012|| there was one Australian dead from the 2/4th battalion on 11 April, plus 26 dead on 12 April belonging to the 2/4 battalion (3 dead), 2/8 battalion (12 dead), 2/1 AT regiment (10 dead) and 2/3rd Field Regiment (Australia)|2/3 Field Regiment (1 dead)}}",{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},one mechanised brigade (''Waffen SS''); one armoured brigade (German Army (Wehrmacht)|German Army),"'''Nazi Germany''', SS: 37 dead, 98 wounded, two taken prisonerref{{harvp|Golla|2007|p=230}}&lt;/ref&gt;, Army: unknown."
{{flagicon|Greece|royal}},{{flagicon|Greece|royal}},,"heavy, German claim: 1,000 captured",{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},6500,unknown
{{flag|Australia}},Arthur Samuel Allen,~ 1 brigade,"Australian: , 80 killed or wounded, 120 captured , New Zealand: 4 killed or wounded",{{flag|Nazi Germany}},"Ferdinand Schörner ,  Hermann Balck",~ 1&ndash;2 divisions (elements),140 killed or wounded
{{flag|New Zealand}},{{flagicon|New Zealand}},,,{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},,"~100 casualties,  15 tanks destroyed"
{{flag|United Kingdom}},{{flagicon|New Zealand}},"'''United Kingdom''':15,000'''Greece''':11,451refhttp://www.geetha.mil.gr/media/1maxikritis/maxi-kritis-1941.pdf (Greek) page 10, retrieved on 27.5.2010: 474 officers and 10,977 soldiers]&lt;/ref&gt;'''Australia''':7,100'''New Zealand''':6,700'''Total''':40,000–61,800ref name=""neoskosmos.com""http://neoskosmos.com/news/en/Battle-of-Crete-Dr-Maria-Hill-Diggers-and-Greeks Battle of Crete: Greece sacrificed much for the greater good]&lt;/ref&gt; (10,000 without fighting capacity)ref{{harvnb|Long|1953|p=210}}.&lt;/ref&gt;","4,123 deadunknown wounded17,479 captured4 cruisers sunk, 6 destroyers sunk1 aircraft carrier, 2 battleships damaged, 4 cruisers damaged, 2 destroyers damaged, 1 submarine damaged",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},{{Citation needed|date|=|March 2007}},"1,915 dead1,759 missing2,000 woundedrefHans-Otto M&#252;hleisen: ''Kreta 1941 &#8211; Das Unternehmen &#8222;Merkur&#8220;, 20. Mai bis 1. Juni 1941'', in: &#8222;Einzelschriften zur milit&#228;rischen Geschichte des Zweiten Weltkrieges&#8220;, Band 3. 1968, Page 102&lt;/ref&gt; 284 Luftwaffe aircraft destroyed or written off and several hundred damagedref name=""shores403""1 Italian destroyer damaged1 Italian torpedo boat damaged"
{{flag|Australia}},,,,{{flagicon|Nazi Germany}},,,
{{flagu|Australia}},,,52 killed or wounded,{{flagicon|Nazi Germany}},,,"280 killed, 3 captured"
{{flag|United Kingdom}},{{flagicon|United States|1912}},"'''Initial Strength:'''160,000 personnel14,000 vehicles600 tanks1,800 gunsrefMitcham &amp; von Stauffenberg (2007), p. 63&lt;/ref&gt;'''Peak Strength:'''467,000 personnelref name=""Mitcham307""Mitcham &amp; von Stauffenberg (2007), p. 307&lt;/ref&gt;",{{flagicon|United Kingdom}},{{flagcountry|Kingdom of Italy}},{{flagicon|Italian Social Republic}},"252,000 Italian personnelrefLe Operazioni in Sicilia e in Calabria (Luglio-Settembre 1943), Alberto Santoni, p.400, Stato maggiore dell'Esercito, Ufficio storico, 1989&lt;/ref&gt;refIncluding Navy and Air Force personnel.&lt;/ref&gt;40,000–60,000 German personnelref name=""Mitcham307""refShaw, p.119&lt;/ref&gt;260 tanks1,400 aircraftrefDickson(2001) p. 201&lt;/ref&gt;",{{flagicon|Italian Social Republic }}
{{flag|United Kingdom}},{{flagicon|United Kingdom}},2075,313 killed and 174 missing or wounded,{{flagcountry|Kingdom of Italy}},{{flagicon|Kingdom of Italy}},unknown,unknown
{{flag|United Kingdom}},{{flagicon|United Kingdom}},,"{{#tag:ref|The troop casualties for the parachute brigade only, the aircrew losses are not known.|group|=|nb}}",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},,Unknown
{{flag|United States|1912}},Omar Bradley|Omar N. Bradley,,,{{flagcountry|Nazi Germany}},"Eberhard Rodt, Giacomo Romano",,
{{Flag|United Kingdom}},{{Flagicon|United States|1912}},"189,000 (by 16 September)","2,009 killed7,050 wounded3,501 missing",{{Flagcountry|Nazi Germany}},{{Flagicon|Nazi Germany}},100000,"3,500 casualtiesref name=A236Atkinson p.236&lt;/ref&gt;(incl 630 killed)ref name=A236"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},,"''British Army'', 58 dead, 154 wounded, ''Royal Navy'', 48 dead, HMS Abdiel (M39)|HMS ''Abdiel'' sunk",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},,None during initial landing
{{flagicon|Kingdom of Italy}},{{flagicon|United Kingdom}},"55,000 Italiansref name=aldolevi{{cite book |last=Levi |first=Aldo |title=Avvenimenti in Egeo dopo l&#180;armistizio |publisher=Ufficio storico della Marina Militare |url=http://www.difesa.it/Primo_Piano/Documents/2013/Aprile/Resistenza%20nell%27Egeo%20-%20Mod.pdf |accessdate=13 August 2015}}&lt;/ref&gt; ,  5,300 Britishref name=""aldolevi""ref name=""books.google.com.pe""{{cite web|url=https://books.google.com.pe/books?id=N0nrSWUHx6sC&amp;pg=PA241&amp;lpg=PA241&amp;dq=4800+1184+germans+dodecanese&amp;source=bl&amp;ots=j0hmTSb12t&amp;sig=WZro_TyEeCzzmL606a10Vm88Grg&amp;hl=es-419&amp;sa=X&amp;ved=0CCkQ6AEwAmoVChMIjuqj6simxwIVw7geCh18-wL7#v=onepage&amp;q=4800%201184%20germans%20dodecanese&amp;f=false|title=World War II at Sea: An Encyclopedia, Volume 1  By Spencer Tucker|date= |accessdate=2015-08-13}}&lt;/ref&gt;","'''Italian''':5,350 killed & woundedref name=""books.google.com.pe"", 44,391 POWsref name=""aldolevi"", '''British''':4,800 casualtiesref name=""books.google.com.pe""113 aircraft lost6 destroyers sunk1 cruiser crippled3 cruisers heavily damaged4 destroyers severely damaged3 submarines sunk4 submarines damaged10 minesweepers and coastal defense ships sunkref{{cite web |url=http://www.warandgamemsw.com/blog/483318-dodecanese-campaign-of-1943/ |title=Warandgamemsw.com |publisher=Warandgamemsw.com |date= |accessdate=2013-10-08 |deadurl=yes |archiveurl=https://web.archive.org/web/20140108194200/http://www.warandgamemsw.com/blog/483318-dodecanese-campaign-of-1943/ |archivedate=2014-01-08 |df= }}&lt;/ref&gt;refhttp://www.deddington.org.uk/__data/assets/pdf_file/0018/9117/TheBattleforLeros-TedJohnsonandBillMinnear.pdf&lt;/ref&gt;",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"7,500 Germansref{{cite web|url=http://www.dodecaneso.org/resistenza.htm|title=8 Settembre 1943 La Resistenza |date= |accessdate=2015-08-13}}&lt;/ref&gt;","1,184 menref name=""books.google.com.pe""15 landing craft"
{{flagicon|Italy|1861}},{{flagicon|Italy|1861}},"'''Italian''': 8,320 soldiers and sailors, '''British:''' 3,500+ soldiers, No. 74 Squadron RAF|74 Squadron, Royal Air Force|RAF, 7 Squadron, South African Air Force|RSAAF","'''Italian''':,  254 killed or missing, 5,350 POWs, 1 destroyer sunk, 5 auxiliary and merchant ships sunk, 5 MAS and MTBs sunk, '''British''':, ~600 killed, 100 wounded, 3,200 POWs, 115 RAF aircraft lost, 3 destroyers sunk, '''Greek''':,  1 destroyer sunk, 68 killed",{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},"2,800 German soldiers","512 killed, , 900 wounded, at least five Marinefährprahm|MFPs"
{{flagcountry|Kingdom of Italy}},{{flagicon|Kingdom of Italy}},"ca. 3,500 Italians, 1,388 British","3,145 Italians &, 1,388 British POWs, 91 Italian officers executed",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},4000,"15 dead, 70 wounded"
{{flagicon|Kingdom of Italy}},{{flagicon|Kingdom of Italy}},"est 30,000+",{{flagicon|Kingdom of Italy}},{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},8000,54-96 killed
